date_time;resolve;uid;title;url;text;views;answers;author;upvotes;type;tags;;;;;
10/12/2013 22:40;;5.2;Re: Date needs to be validated for greater than today's date;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Date-needs-to-be-validated-for-greater-than-today-s-date/td-p/26545;Thanks for your response Marc!!! Please let us know whether we can display a Data Field based on the Formula Field value using Conditional Fields Option in Properties(Data Field) window?;1411;N/A;MuraliM;0;answer;N/A;;;;;
11/12/2013 04:27;;5.3;Re: Date needs to be validated for greater than today's date;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Date-needs-to-be-validated-for-greater-than-today-s-date/td-p/26545;"Murali, 
 
No Problem. Can you please provide an example and some context?";1408;N/A;DocuMarc;0;answer;N/A;;;;;
11/12/2013 22:51;;5.4;Re: Date needs to be validated for greater than today's date;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Date-needs-to-be-validated-for-greater-than-today-s-date/td-p/26545;"Consider I have a Formula Field and Daat Field in a Template. Formula Field should have value as ""1"" or ""0"" only. If the Formula Field having value is ""1"", then we have to show the Data Field using Conditional Fields Option else we don't display the data field for user input. Please let me know whether we can display a Data Field based on the Formula Field value using Conditional Fields Option?";1379;N/A;MuraliM;0;answer;N/A;;;;;
12/12/2013 14:08;;5.5;Re: Date needs to be validated for greater than today's date;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Date-needs-to-be-validated-for-greater-than-today-s-date/td-p/26545;"Yes MuraliM
 
That is possible, but  I suggest using a set of radio buttons. 
It would be much easier to set  one to have the data field appear, and the other  to do nothing if not selected. 
Do you have to use formula fields?
 
Happy Holidays, 
MarcAdmin";1360;N/A;DocuMarc;0;answer;N/A;;;;;
12/12/2013 17:15;;5.6;Re: Date needs to be validated for greater than today's date;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Date-needs-to-be-validated-for-greater-than-today-s-date/td-p/26545;Yes. I want display the data fields based on the formula filed. Scenario is, I am populating the value using Formula in Formula Field based on the Data Field A and then enable the Data Field B based on the formula field value 1 or 0. So, Formula Field value will be changed dynamically based on the user input in Data Field A. I hope you will be clear now that what I have to accomplish using Formula Field?Thanks and Happy holidays !!!;1356;N/A;MuraliM;0;answer;N/A;;;;;
18/12/2013 16:40;;5.7;Re: Date needs to be validated for greater than today's date;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Date-needs-to-be-validated-for-greater-than-today-s-date/td-p/26545;"Hello MuraliM, 
 
Sorry for the confusion, but I can only go in more detail for my first response. 
 
""You could create a custom tag with a Regex Pattern to validate some response, to exclude entries you don't want them use. However, I would not recommend this for validating a  ""date"".  You would need to update every new day you send out,  and there is no guarantee of validation because there are so many combinations and open errors that one could enter for the invalid date.""
 
It is only possible by masking a data field and will not work with a date field. I am not sure if  there is a formula or pattern that you can use for a value greater than todays date.
 
You may have more luck by trying our developer community on stack overflow. 
All formula, coding and API question(s) are best addressed on our Dev Zone on StackOverflow.com. Stack Overflow has a robust system with experienced professionals who can answer technical questions quickly and efficiently.
 


Use tag #DocuSignAPI

 
Thanks for visiting, 
MarcAdmin.";1304;N/A;DocuMarc;0;answer;N/A;;;;;
20/12/2013 03:18;;5.8;Re: Date needs to be validated for greater than today's date;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Date-needs-to-be-validated-for-greater-than-today-s-date/td-p/26545;Thanks for the response !!!;1294;N/A;MuraliM;0;answer;N/A;;;;;
10/12/2013 23:28;false;6;New to DocUSign dont know where to Start;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/New-to-DocUSign-dont-know-where-to-Start/td-p/26629;HI, Am New to DocUSign. Am trying to connect the the DocUSign API via my application. I dont know from where to start. I am working on a JAVA application. I any of you would help me in guiding me where/how to start will be a great Helpo.;841;3;vinaradha;0;question;MarcAdmin;;;;;
11/12/2013 04:03;;6.1;Re: New to DocUSign dont know where to Start;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/New-to-DocUSign-dont-know-where-to-Start/td-p/26629;"Welcome to the Community Vinaradha
 
You can learn how to use the Community in our Guide HERE
 
To get started on your JAVA application.- Visit the Quick Start section of or Dev Center below. 
 

 
All API question(s) are best addressed on our Dev Zone on StackOverflow.com. Stack Overflow has a robust system with experienced professionals who can answer technical questions quickly and efficiently, and this change is intended to get your questions answered faster by a wider audience.
 


Use tag #DocuSignAPI
 

 
Please post any  API and Integration questions on StackOverflow.com using tag #DocuSignAPI  so you can receive updates whenenver your questiosn is answered.
 
View our most popular API Article: 5 Tips To Remember When Integrating eSignatures
 
Also visit our Dev Center, where YOU can sign up for a FREE Developer  Account and view Training and Documentation for our SOAP and REST API.
 

 
 


 
 
 
 
 
If you found my response helpful, please click the   underneath my profile. 
Thank you for visiting the community, 
MarcAdmin
 

 
Learn How to Use the Community! 
Register HERE to Join the Conversation!
Also, view our How-To Guides, Videos, and other Resources, on our Support Portal.
DocuSign it!  Full Service Guide";826;N/A;DocuMarc;0;answer;N/A;;;;;
11/12/2013 23:02;;6.2;Re: New to DocUSign dont know where to Start;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/New-to-DocUSign-dont-know-where-to-Start/td-p/26629;"Thanks. I tried the same way but am getting the Connection refused. I just tried calling from plane java main methode.Does it work from plane Java code?Below my code. String docUSignURL = ""https://demo.docusign.net/restapi/v2/login_information?api_password=true&include_account_id_guid=tru...String docUSignCredientials = ""<DocuSignCredentials><Username>SAME AS MENTIONED</Username><Password>ENCRIPTED PWD</Password><IntegratorKey>SAME AS FETCHED</IntegratorKey></DocuSignCredentials>"";URL url = null;HttpURLConnection connection = null;try {url = new URL(null, docUSignURL, new Handler());connection = (HttpURLConnection) url.openConnection();connection.setRequestMethod(""GET"");connection.setRequestProperty(""Content-Type"", ""application/xml"");//connection.addRequestProperty(""method"", verb);connection.setRequestProperty(""Connection"", ""Keep-Alive"");connection.setRequestProperty(""X-DocuSign-Authentication"", docUSignCredientials);connection.addRequestProperty(""Accept"", ""application/json"");if (connection.getResponseCode() != 200) {throw new RuntimeException(""Failed : HTTP error code : "" + connection.getResponseCode());}BufferedReader br = new BufferedReader(new InputStreamReader((connection.getInputStream())));String output;System.out.println(""Output from Server .... \n"");while ((output = br.readLine()) != null) {System.out.println(output);}connection.disconnect();} catch (MalformedURLException e1) {e1.printStackTrace();} catch (IOException e) {e.printStackTrace();} finally {if (connection != null) {connection.disconnect();}}     Also I tried using ur RES API try for u r site am getting the below infor apart from other info. I have doubt, the usesAPI and  canSendAPIRequests is false. Is that causing problem if yes wher can I go n change it.   ""loginAccountSettings"":[ { ""name"":""usesAPI"", ""value"":""false"" } ], ""loginUserSettings"":[ { ""name"":""canManageAccount"", ""value"":""true"" }, { ""name"":""canSendAPIRequests"", ""value"":""false"" }, { ""name"":""canSendEnvelope"", ""value"":""true"" }, { ""name"":""allowSendOnBehalfOf"", ""value"":""true"" }, { ""name"":""apiAccountWideAccess"", ""value"":""true"" }, { ""name"":""allowRecipientLanguageSelection"", ""value"":""true"" } ]  Please Advice what need to be done.";795;N/A;vinaradha;0;answer;N/A;;;;;
12/12/2013 09:57;;6.3;Re: New to DocUSign dont know where to Start;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/New-to-DocUSign-dont-know-where-to-Start/td-p/26629;"Hello vinaradha,
 
Sorry, if I was unclear. You must post any  coding and Integration questions on StackOverflow.com using tag #DocuSignAPI  so you can receive updates whenenver your questiosn is answered. You can view some Java questions previously asked on StackOverflow.com HERE
 
 
 
Please post all other general questions on this Success Community. 
MarcAdmin";757;N/A;DocuMarc;0;answer;N/A;;;;;
12/12/2013 05:46;false;7;"Error ""the element documents in namespace docusign has incomplete content""";http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Error-quot-the-element-documents-in-namespace-docusign-has/td-p/26641;HiI am getting the error at a client location when the PDF Documents are being Created the full message readSystem.ServiceModel.FaultExcetpion: Validation Error: The element documents in namespace http://www.docusign.net/API/3.0 has incomplete content. List of possible elements expected: 'Document' in namespace. Has anyone else faced this issue or have any  suggestions on what could be causing this ?;451;1;Hidayath;0;question;;;;;;
12/12/2013 15:02;;7.1;"Re: Error ""the element documents in namespace docusign has incomplete content""";http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Error-quot-the-element-documents-in-namespace-docusign-has/td-p/26641;"All API question(s) are best addressed on our Dev Zone on StackOverflow.com. Stack Overflow has a robust system with experienced professionals who can answer technical questions quickly and efficiently, and this change is intended to get your questions answered faster by a wider audience.
 


Use tag #DocuSignAPI
 

 
You need to post any  API and Integration questions on StackOverflow.com using tag #DocuSignAPI  so you can receive updates whenenver your questiosn is answered.
 
 
 
Please post any  API and Integration questions on StackOverflow.com using tag #DocuSignAPI. 
Please visit our Dev Center as well. It has Training and Documentation for our SOAP and REST API.
 
 
Thank You for visiting the Community, 
Please post any and all other general questions on this Success Community. 
DocuSign It!!!
MarcAdmin
 
 

Moved Thread";446;N/A;DocuMarc;0;answer;N/A;;;;;
20/12/2013 14:28;false;8;max. # of API innocations exceeded;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/max-of-API-innocations-exceeded/td-p/26811;i'm trying to sign a doc in the iOS Ink app and this happens. what should i do?;785;1;TobyMurdock;0;question;;;;;;
20/12/2013 15:05;;8.1;Re: max. # of API innocations exceeded;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/max-of-API-innocations-exceeded/td-p/26811;"Welcome to the Community TobyMurdock, 
 
This is unusual. The hourly call limit is 1000 and it resets every hour. I looked into your account and  everything seems to be enabled. 
 
If the problem persists after an hour, this case would best be resolved by contacting support so we can reproduce over the phone. We can be reached at:
 
Support Direct: +1.866.219.4318
 
 
 

Happy Holidays.
If you found my response helpful, please click the   underneath my profile. 
 
 
 
 
Thank you for visiting the community, 
MarcAdmin
 

 
Learn How to Use the Community! 
Register HERE to Join the Conversation!
Also, view our How-To Guides, Videos, and other Resources, on our Support Portal.
DocuSign it!  Full Guide Index";784;N/A;DocuMarc;0;answer;N/A;;;;;
03/10/2013 02:18;false;9;Integrate with CRM;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Integrate-with-CRM/td-p/25085;I do not know if I am posting this in the right section. However I am looking to integrate docusign with our crm. So that the information that is put into the contract is transfered into our crm. We currently use Zoho CRM is there anyone that knows if this is possible? Thanks;489;1;jmark;0;question;;;;;;
03/10/2013 08:19;;9.1;Re: Integrate with CRM;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Integrate-with-CRM/td-p/25085;"Hello jmark, 
 
I am aware of intergrations with zoho creator. However, all API question(s) are best addressed on our Dev Zone on StackOverflow.com. Stack Overflow has a robust system with experienced professionals who can answer technical questions quickly and efficiently, and this change is intended to get your questions answered faster by a wider audience.
 
Please post any  API and Integration questions on StackOverflow.com using tag #DocuSignAPI. 
Please visit our Dev Center as well. You can sign up for a FREE Developer  Acccount and view Training and Documentation for our SOAP and REST API.
 
 
 
Thank You for visiting the Community.
DocuSign It!!!
MarcAdmin
 

 
Learn How to Use the Community!
Also, view our How-To Guides, Videos, and other Resources, on our Support Portal.
DocuSign it!  Full Service Guide";482;N/A;DocuMarc;0;answer;N/A;;;;;
03/10/2013 11:49;true;10;Form redirect for signature;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Form-redirect-for-signature/td-p/25101;Hi, We have a form on our website that users need to sign. I'd like to keep the form on our site since we have so much validation going on, and have a button that will send users to Docusign's website to sign the document. Can I have such a button? Once they're on Docusign's website, I'd like them to be able to see the form with everything they filled in, but I don't want any fields to be editable. Is this possible? Do I need to create a template in docusign, and pass all the data? Once the users sign the document, is it possible to show their signature on the form on our website? Thanks.;1767;5;bsener;0;question;;;;;;
03/10/2013 14:07;;10.1;Re: Form redirect for signature;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Form-redirect-for-signature/td-p/25101;"Hello bsener, 
 
I am unsure of your question. From what I understand, you are interested in our PowerForm Feature. 
 
*Please Note: PowerForms are only available for DocuSign Enterprise Accounts. 
 
When PowerForms are enabled for your account you can create a PowerForm from an existing DocuSign template. Each Powerform generates a link that automatically creates a DocuSign Envelope, from the Template. You can also embed this Powerfrom link in a Web Page and create custom fields. However, it sounds like your use case will require custom integration. 
 
To learn more about PowerForms, please view our : DocuSign PowerForms User Guide
 
 
Please click the   underneath my profile if you found my response helpful.  
If solved, please use the   button to help other members with the same question. 
 
Thank you for visiting the community, 
MarcAdmin 
 

 
Learn How to Use the Community!
Also, view our How-To Guides, Videos, and other Resources, on our Support Portal.
DocuSign it!  Full Service Guide";1760;N/A;DocuMarc;0;answer;N/A;;;;;
04/10/2013 05:07;;10.2;Re: Form redirect for signature;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Form-redirect-for-signature/td-p/25101;Thank you for your reply. Can I pass field values to the power form? Let's say customer filled out their address, full name, email etc. on our website, and hit the sign button on our website which will open up the iframe window to sign. I know I can show the powerform in the iframe, but can I pass all the fields they filled to the power form so all the data shows up on what they're signing? Baris;1752;N/A;bsener;0;answer;N/A;;;;;
04/10/2013 09:13;;10.3;Re: Form redirect for signature;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Form-redirect-for-signature/td-p/25101;"Hello bsener,
 
Please review the the documentation that I referenced in the above post.
Specifically, pg 15 - Populating Custom Envelope Fields in a Web Form
 
If you have any additional programming questions, please posts on StackOverflow.com #DocuSignAPI. where they are best addressd. Stack Overflow has a robust system with experienced professionals who can answer technical questions quickly and efficiently, and this change is intended to get your questions answered faster by a wider audience.
 
Please visit our Dev Center as well. You can sign up for a FREE Developer  Acccount and view Training and Documentation for our SOAP and REST API.
 
 
Please click the   underneath my profile if you found my response helpful.  
If solved, please use the   button to help other members with the same question. 
 
 
Thank you for visiting the community, 
MarcAdmin 
 

 
Learn How to Use the Community!
Also, view our How-To Guides, Videos, and other Resources, on our Support Portal.
DocuSign it!  Full Service Guide";1742;N/A;DocuMarc;0;answer;N/A;;;;;
04/10/2013 11:27;solution;10.4;Re: Form redirect for signature;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Form-redirect-for-signature/td-p/25101;Thank you! I've got it all working! One last question. Once the user signs and submits, is there anyway for me to find out? Once the users signs, I'd like to change the status of the form on the webpage.;1733;N/A;bsener;0;answer;N/A;;;;;
04/10/2013 13:52;;10.5;Re: Form redirect for signature;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Form-redirect-for-signature/td-p/25101;"Hello bsener
 
The Sender specified in the PoweForm will receive a completed envelope notification, when the user submits the envelope generated from the PowerForm. You will have to customize how you update the status of the form on your webpage.
 
 
Please click the   underneath my profile if you found my response helpful.  
If solved, please use the   button to help other members with the same question. 
 
Thank you for visiting the community, 
MarcAdmin 
 

 
Learn How to Use the Community!
Also, view our How-To Guides, Videos, and other Resources, on our Support Portal.
DocuSign it!  Full Service Guide";1727;N/A;DocuMarc;1;answer;N/A;;;;;
08/10/2013 12:20;false;11;Cannot sign with FoxIT Reader;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Cannot-sign-with-FoxIT-Reader/td-p/25177;Error message dialog about account lacking sufficient permissions when trying to sign a document in fox it.  Do i need s certain level of account to use this feature? Derek;1843;8;DerekSchauland;0;question;foxit;;;;;
08/10/2013 13:14;;11.1;Re: Cannot sign with FoxIT Reader;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Cannot-sign-with-FoxIT-Reader/td-p/25177;"Hello DerekSchauland,
 
No, but you must be logged in and the admin on your account, must make sure all DocuSign permissions are defined for you as a  Foxit/DocuSign user. If you are not the admin on your account, please contact them for permissions.
 
 
Thank you for visiting the community, 
MarcAdmin 
 

 
Learn How to Use the Community!
Also, view our How-To Guides, Videos, and other Resources, on our Support Portal.
DocuSign it!  Full Service Guide";1835;N/A;DocuMarc;0;answer;N/A;;;;;
08/10/2013 13:16;;11.2;Re: Cannot sign with FoxIT Reader;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Cannot-sign-with-FoxIT-Reader/td-p/25177;Im the only user on my account.  Is there a way to view / modify the permissions?;1833;N/A;DerekSchauland;0;answer;N/A;;;;;
08/10/2013 14:03;;11.3;Re: Cannot sign with FoxIT Reader;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Cannot-sign-with-FoxIT-Reader/td-p/25177;"Hello DerekSchauland, 
 
If you are the admin on your account you can modify the permissions by  followin the steps below. 
 
1. In the DocuSign console, click the the downward arrow by your ID tag, in the upper right hand corner. 
2. Select Preferences.
3. In the left hand column, under Account Administration, select Users. 
4. Find yourself in the ""User Name"" column and click open, in the left most ""User Data"" column.
5. A new screen will appear - Click the ""Permisssions"" button at the top. 
6. New options will appear. In the DocuSign API section, check the box by ""Submit DocuSign API Requests"".
7. Click the Save button at the bottom of the screen. 
 
You should now be able to sign a document in Foxit.
 
Please click the   underneath my profile if you found my response helpful.  
If solved, please use the   button to help other members with the same question. 
 
Thank you for visiting the community, 
MarcAdmin 
 

 
Learn How to Use the Community!
Also, view our How-To Guides, Videos, and other Resources, on our Support Portal.
DocuSign it!  Full Service Guide";1813;N/A;DocuMarc;0;answer;N/A;;;;;
08/10/2013 14:06;;11.4;Re: Cannot sign with FoxIT Reader;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Cannot-sign-with-FoxIT-Reader/td-p/25177;There is no users selection under account administration... I am using a free account.  Not sure what I missed but it seems some features are disabled;1812;N/A;DerekSchauland;0;answer;N/A;;;;;
08/10/2013 14:27;;11.5;Re: Cannot sign with FoxIT Reader;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Cannot-sign-with-FoxIT-Reader/td-p/25177;"Hello DerekSchauland,
 
Are you logging into your DocuSign account when you are in Foxit?";1801;N/A;DocuMarc;0;answer;N/A;;;;;
08/10/2013 14:28;;11.6;Re: Cannot sign with FoxIT Reader;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Cannot-sign-with-FoxIT-Reader/td-p/25177;Yes. It accepts the login, but when I try to sign a document there is the error This happens with the mobile app on the ipad as well... same error;1800;N/A;DerekSchauland;0;answer;N/A;;;;;
09/10/2013 09:30;;11.7;Re: Cannot sign with FoxIT Reader;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Cannot-sign-with-FoxIT-Reader/td-p/25177;This also appears to happen with the same error from the docusign ink mobile app;1755;N/A;DerekSchauland;0;answer;N/A;;;;;
09/10/2013 10:50;;11.8;Re: Cannot sign with FoxIT Reader;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Cannot-sign-with-FoxIT-Reader/td-p/25177;"Hello DerekSchauland, 
 
We will need to look into your account to determine what options are available. This may or may not be an issue with Foxit.
 
 This case would best be resolved by contacting support at:
Email: support@docusign.com
Support Direct: +1.866.219.4318
 
Thank you for visiting the community, 
MarcAdmin 
 

 
Learn How to Use the Community!
Also, view our How-To Guides, Videos, and other Resources, on our Support Portal.
DocuSign it!  Full Service Guide";1749;N/A;DocuMarc;0;answer;N/A;;;;;
16/10/2013 11:32;false;12;Docusign Custom CSS;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Docusign-Custom-CSS/td-p/25427;If you look at the image, you can see how the iframe extends outside of my wrapper (html body). Is there a way to change the width of the content in the iframe? I can change the width of the iframe, but then I end up having a horizontal scroll bar. Also, you can see how small the document the user is going to sign. It's like 300pixels long. But if you look at the scroll bar, the document is like 1200pixels long, and then there is another 800pixels of empty space after the document. How can I change the height of the content in the iframe? Is there a way to create a document in Docusign that's only half a page, or even less?   Baris;635;1;bsener;0;question;;;;;;
16/10/2013 14:57;;12.1;Re: Docusign Custom CSS;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Docusign-Custom-CSS/td-p/25427;"Hello bsener,
 
All API question(s) are best addressed on our Dev Zone on StackOverflow.com. Stack Overflow has a robust system with experienced professionals who can answer technical questions quickly and efficiently, and this change is intended to get your questions answered faster by a wider audience.
 
Please post any  API and Integration questions on StackOverflow.com using tag #DocuSignAPI. 
Please visit our Dev Center as well. You can sign up for a FREE Developer  Acccount and view Training and Documentation for our SOAP and REST API.
 
 
If you found my response helpful, please click the   underneath my profile. 
 
 
 
Thank you for visiting the community, 
MarcAdmin
 

 
Learn How to Use the Community!
Also, view our How-To Guides, Videos, and other Resources, on our Support Portal.
DocuSign it!  Full Service Guide";626;N/A;DocuMarc;0;answer;N/A;;;;;
28/10/2013 12:19;true;13;Turning off email authentication;http://community.docusign.com/t5/Misc-Dev-Archive-READ-ONLY/Turning-off-email-authentication/td-p/25635;Is there a way to turn off email authentication and not have any authentication at all? This would be for a less important internal process.;869;1;bradyzk;0;question;;;;;;
