date_time;resolve;uid;type;views;answers;upvotes;author;title;text;url
09/06/15 14:55;;1345.2;answer;;;0;Brandon Ruschill (bruschill);;BrianC - I was actually wondering about if the payment hits the user's bank's daily withdraw limit when they have enough money in their account. In college I hit my daily limit a couple of times when I tried to buy a new laptop. I'd then have to physical;https://discuss.dwolla.com/t/scheduled-payments-and-daily-bank-limits/1345/2
09/06/15 16:02;solution;1345.3;answer;;;1;Gordon Zheng (gordon);;"bruschill, 
If the sender's bank account has a daily/monthly ACH transaction volume limit, that will result in a failed transaction.  The TransactionStatus webhook will notify your application in this case and the transaction will have a status of failed.";https://discuss.dwolla.com/t/scheduled-payments-and-daily-bank-limits/1345/3
10/06/15 01:21;;1345.4;answer;;;1;Brandon Ruschill (bruschill);;That's what I figured. Thanks gordon  && BrianC!;https://discuss.dwolla.com/t/scheduled-payments-and-daily-bank-limits/1345/4
10/06/15 19:31;;1345.5;answer;;;1;Gordon Zheng (gordon);;Happy to help bruschill!;https://discuss.dwolla.com/t/scheduled-payments-and-daily-bank-limits/1345/5
04/05/15 19:16;false;1225;question;175;4;0;Eric Mayefsky (Eric_Mayefsky);Could not connect to Dwolla (/oauth/rest) errors;"Over the last 15 minutes or so we are running into intermittent errors:
Dwolla::APIConnectionError: Could not connect to Dwolla (/oauth/rest).  Please check your internet connection and try again.  If this problem persists, you should check Dwolla's service status at https://twitter.com/Dwolla, or let us know at supportDwolla.com.
Some of our transactions are getting through on and off while this is happening, but I'm not seeing other reports, so here you are.";https://discuss.dwolla.com/t/could-not-connect-to-dwolla-oauth-rest-errors/1225
04/05/15 19:31;;1225.1;answer;;;0;Gordon Zheng (gordon);;Thanks for letting us know Eric_Mayefsky, looking into this;https://discuss.dwolla.com/t/could-not-connect-to-dwolla-oauth-rest-errors/1225/1
04/05/15 19:43;;1225.2;answer;;;0;Gordon Zheng (gordon);;"There doesn't seem to be anything unusual happening on our end according to our infrastructure team.  Looks like that error is thrown in the event of:
RestClient::ServerBrokeConnectionRestClient::RequestTimeout
Is there a particular API call failing for you, or all API calls?  Any network issues on your end?  Can you try curl-ing a request to our API from your server?";https://discuss.dwolla.com/t/could-not-connect-to-dwolla-oauth-rest-errors/1225/2
04/05/15 20:21;;1225.3;answer;;;1;Eric Mayefsky (Eric_Mayefsky);;Hmm.  This happened for a Transactions.get and a FundingSources.get--once from a daily scheduled job we run all the time (straight from Heroku scheduler) and then from a locally run reprocess of that job.  Heroku did report some issues for a few minutes earlier and things are working fine at the moment so I probably won't look at it further, thanks for taking a look!;https://discuss.dwolla.com/t/could-not-connect-to-dwolla-oauth-rest-errors/1225/3
04/05/15 20:29;;1225.4;answer;;;0;David Stancu (David);;"Eric_Mayefsky,
I wrote a little demo app to show off scheduled in Rails, and it runs off of a Heroku instance. If you ever want to check whether or not the gem is broken, this app uses the latest gem, always.";https://discuss.dwolla.com/t/could-not-connect-to-dwolla-oauth-rest-errors/1225/4
05/05/15 19:24;false;1227;question;159;1;0;Joe (joe);Re-authorizing users;"Hi we're using the dwolla api to connect our app to dwolla with oauth.  We're planning to use a cron job to keep our users' tokens fresh.
If for some reason this were to fail, are we able to have a user reauthorize by having them follow a link Dwolla::OAuth.get_auth_url and capture a new token using Dwolla::OAuth.get_token? 
Thanks";https://discuss.dwolla.com/t/re-authorizing-users/1227
05/05/15 19:45;;1227.1;answer;;;1;Spencer Hunter (spencer);;"Hi joe Without knowing the specifics of your app, in cases where you have an ""invalid access token"" and ""invalid refresh token"" for the user you would want to send them through the OAuth flow to reauthorize the application. It would also depend on what you mean by fail. If a single API call to refresh were to fail in this chron job, I would recommend attempting to refresh again.";https://discuss.dwolla.com/t/re-authorizing-users/1227/1
02/03/15 21:45;true;1030;question;288;4;0;Joe Dev (jholst);Invalid Refresh Token;"Been getting ""Invalid Refresh Token"" on and off this morning, quite a few of them actually. I realize this is probably because of the changes put into place on March 1st. However, we were not getting ""Invalid Refresh Token"" before that time, even though the same code has been in place for some time.
My question is, what causes a refresh_token to become invalid?
Secondly, if in the case there was an issue with Dwolla (a bug, not responding, down for maintenance, etc) where do we go to find out about that information?";https://discuss.dwolla.com/t/invalid-refresh-token/1030
02/03/15 22:22;solution;1030.1;answer;;;0;Spencer Hunter (spencer);;"jholst 
A few things come to mind when you receive the ""Invalid refresh token."" error. The actual refresh token you are passing into the call is invalid. (token string doesn't match a valid token), you have already refreshed your access_token and you are attempting to refresh again using an ""old"" refresh token that has been invalidated, and lastly you are attempting to GET the token endpoint instead of POSTing to /oauth/v2/token.
As of right now the best way to find out information relating to issues with Dwolla is by subscribing to notifications from the api-support discuss board. We are looking into adding a working API status monitor that you can subscribe to on our developers portal, as well as a place to subscribe to breaking changes. If you have any ideas on how to improve communication relating to bugs/issues we would love to hear them!";https://discuss.dwolla.com/t/invalid-refresh-token/1030/1
04/03/15 21:16;;1030.2;answer;;;0;Joe Dev (jholst);;I'm still looking into this (trying to get the sandbox to work). At one point I was able to take a refresh_token that was just assigned, and before making any other calls to your service, was passing the refresh_token back to get a new access_token and was still getting the same error. Despite successfully going through the OAuth process and being given the refresh_token only minutes before. Something seems odd. I'll post back when I have more.;https://discuss.dwolla.com/t/invalid-refresh-token/1030/2
04/03/15 21:31;;1030.3;answer;;;1;Joe Dev (jholst);;"spencer:
and lastly you are attempting to GET the token endpoint instead of POSTing to
My sincere apologies, I completely overlooked this and that seemed to be the culprit. Was there a time when GET would have worked? I have successfully refreshed access tokens using this same call. 
I'm confused but happy it is now working.";https://discuss.dwolla.com/t/invalid-refresh-token/1030/3
04/03/15 22:53;;1030.4;answer;;;0;Spencer Hunter (spencer);;GET works when you initially go through the OAuth flow and exchange the authorization code for an access_token and refresh_token pair, but not when you are refreshing authorization.;https://discuss.dwolla.com/t/invalid-refresh-token/1030/4
02/03/15 19:38;true;1028;question;278;7;0;Eric Mayefsky (Eric_Mayefsky);Refresh token rate limits?;"Are there any kind of limits on the number of times a refresh/auth token pair can be requested in a given time frame?
I ask because I'm finding this morning that I'm getting an ""Invalid refresh token."" error when I execute various transactions from my app to my own Dwolla account (such as deposits to Dwolla, balance requests, etc.), but this wasn't happening before this morning, and it doesn't happen for any of my other users when I execute similar tasks on their behalf.  So, the only hypothesis coming to mind so far that might fit would be if I've simply refreshed my own personal tokens too many times in recent days/hours/minutes and that's triggering an error.  My transaction still goes through, so it's not like I've run into some more general issue, and I reauthed my own app just to double check and it still happens.";https://discuss.dwolla.com/t/refresh-token-rate-limits/1028
02/03/15 20:38;;1028.1;answer;;;0;Gordon Zheng (gordon);;"Eric_Mayefsky there is no rate limiting or request limit in place.  
Just to clarify: are you refreshing your authorization before each API call you make, and it's during that refresh attempt that you're getting ""Invalid refresh token.""?  Or, are you sa";https://discuss.dwolla.com/t/refresh-token-rate-limits/1028/1
02/03/15 21:47;;1028.2;answer;;;0;Eric Mayefsky (Eric_Mayefsky);;gordon It's the former.  For example, when I use my app's admin tool to check my balance, the tool makes a call to refresh my tokens (which throws an exception which I catch) and then makes a call to the balance endpoint, which works fine.   When I check;https://discuss.dwolla.com/t/refresh-token-rate-limits/1028/2
04/03/15 20:47;;1028.3;answer;;;0;Eric Mayefsky (Eric_Mayefsky);;gordon, any thoughts?  This still repros for me and not for any of my other users (so far as I've tried).   Sounds like at least one other person has also been seeing on and off issues this week: https://discuss.dwolla.com/t/invalid-refresh-token/1030;https://discuss.dwolla.com/t/refresh-token-rate-limits/1028/3
04/03/15 22:32;;1028.4;answer;;;0;Gordon Zheng (gordon);;"Eric_Mayefsky:
      discuss.dwolla.com
Invalid Refresh Token
Been getting ""Invalid Refresh Token"" on and off this morning, quite a few of them actually. I realize this is probably because of the changes put into place on March 1st. However, we were not getting ""Invalid Refresh Token"" before that time, even though the same code has been in place for some time.   My question is, what causes a refresh_token to become invalid?   Secondly, if in the case there was an issue with Dwolla (a bug, not responding, down for maintenance, etc) where do we go to find ou...
Did you generate your token using the token generator? A few folks who used it to generate 'generic' tokens, i.e. without passing in their app credentials got tokens which they are unable to refresh, since refresh tokens must be used with the app creds used to create them.";https://discuss.dwolla.com/t/refresh-token-rate-limits/1028/4
04/03/15 23:37;;1028.5;answer;;;0;Eric Mayefsky (Eric_Mayefsky);;"Nope--since this first appeared, I have (more than once) manually deauthed my own app and reauthed from my website, to try and test against the nearest possible thing to what a normal user would experience.
Is it possible the past deauthorizations are causing a problem somehow?";https://discuss.dwolla.com/t/refresh-token-rate-limits/1028/5
05/03/15 02:01;solution;1028.6;answer;;;1;Eric Mayefsky (Eric_Mayefsky);;OK--I think I figured this out.  This is most likely the result of a race condition of sorts on our side--while people are on the site, we do frequent checks to see if their Dwolla information is out of date, and we now update their tokens to make that check work.  So when I'm doing work on the page or testing things, the request I'm making from the page hit and the request I'm trying to make in the test fire very close to one another which means there's a request with a stale token being sent, and it makes sense this would not affect other users.  Putting a little bit of rate limiting on our side should solve this problem, I'll let you know if it doesn't.  Thanks for the help!;https://discuss.dwolla.com/t/refresh-token-rate-limits/1028/6
05/03/15 17:17;;1028.7;answer;;;0;Spencer Hunter (spencer);;Fantastic! gordon and I were scratching our heads and thinking this could be this could be the culprit. You will definitely want to be wary of multiple concurrent requests, as soon as the new token set is requested then the old one is invalidated.;https://discuss.dwolla.com/t/refresh-token-rate-limits/1028/7
22/08/14 01:04;false;523;question;572;3;2;Christopher Manning (cmanning);Xero.com Integration with Dwolla;"I have just started to use Xero for accounting and invoicing. They don't have a way to integrate with Dwolla but state the following for ""other"" options, is this something Dwalla can do?......
A custom URL is designed for payment services that Xero does not officially integrate with. This URL should contain placeholders that will be replaced with relevant invoice data.
These placeholders are [INVOICENUMBER], [CURRENCY], [AMOUNTDUE] & [SHORTCODE]. An example URL might look like:
https://www.paymentservice.com/?invoiceNo=[INVOICENUMBER]&currency=[CURRENCY]&amount=[AMOUNTDUE]&shortCode=[SHORTCODE]
Please talk to the payment service providing this functionality regarding what this URL should be.";https://discuss.dwolla.com/t/xero-com-integration-with-dwolla/523
12/11/14 21:08;;523.1;answer;;;1; (ZipTx);;+1 - I'm voting for this integration also;https://discuss.dwolla.com/t/xero-com-integration-with-dwolla/523/1
02/02/15 21:58;;523.2;answer;;;1;Justin Brouillette (jbrewlet);;same here;https://discuss.dwolla.com/t/xero-com-integration-with-dwolla/523/2
11/03/15 18:26;;523.3;answer;;;1;Justin Brouillette (jbrewlet);;Is there any information on if this is possible currently? It doesn't seem any too difficult and Xero would be a great pairing with Dwolla IMO. Both disrupters of big mainstream services.;https://discuss.dwolla.com/t/xero-com-integration-with-dwolla/523/3
26/03/15 19:36;true;1099;question;245;7;0;cambridge (cambridge);Offsite gateway default page;"As I read the documentation for offsitegateway, if  allowGuestCheckout and AllowFundingSources are true, user will be presented with the page to create a DwollaDirect account. Otherwise they will be presented with the login page.However, even when allowGuestCheckout and AllowFundingSources are true the login page is shown. This page has an option at the bottomto signup for Dwolla Direct but it would be better to follow the documentation and direct new users immediately to the Dwolla Direct signup page.
https://developers.dwolla.com/dev/pages/guides/offsite_gateway
User is prompted to create a Dwolla Direct account (If allowGuestCheckout and AllowFundingSources were enabled in the  request), or they will log in using existing account.
Create
If the user is already has a Dwolla account, they will be prompted to log in providing their email and password. Once the user successfully authenticates, they will be presented withthe purchase order provided during the request.";https://discuss.dwolla.com/t/offsite-gateway-default-page/1099
27/03/15 13:47;;1099.1;answer;;;1;Spencer Hunter (spencer);;cambridge Hmm strange. What URI are you appending the checkoutId to? Are you testing this in production or uat? If you append the checkoutId to this URI https://www.dwolla.com/payment/checkout/ the call to action for  non-Dwolla user should be to sign up;https://discuss.dwolla.com/t/offsite-gateway-default-page/1099/1
27/03/15 14:44;;1099.2;answer;;;0;cambridge (cambridge);;Checkoutid is appended to  https://www.dwolla.com/payment/checkout.Testing in production. I will retest one more time to make sure it is a non-Dwolla userand AllowGuestCheckout,AllowFundingSources are true. OK,I just pulled the URL with checkoutid from yesterday's log and ran it in a browser andit did the right thing opening on the Dwolla Direct signup athttps://www.dwolla.com/Payment/Register/abcd...But that is not what happened live yesterday...hmmmm....Perhaps my client is using a stale checkoutid.;https://discuss.dwolla.com/t/offsite-gateway-default-page/1099/2
27/03/15 15:38;;1099.3;answer;;;2;Shea Daniels (shea);;"I thought I might be able to shed a little light on this one. When a user logs into Dwolla, a cookie gets set. That cookie is then used to determine which page to show the user when they go to the offsite gateway. If Direct registration is allowed and the user has never logged in, we should always be showing the registration page. Otherwise the login page gets displayed.
You should be able to test this by using an incognito window.";https://discuss.dwolla.com/t/offsite-gateway-default-page/1099/3
27/03/15 19:52;;1099.4;answer;;;0;cambridge (cambridge);;"Yup one of the Dwolla cookies is overriding the other parameters that normally determine which initial Dwolla page gets displayed on checkout.
What is supposed to happen if an existing Dwolla user attempts to checkout using a browser that has no Dwolla cookies and has never previously logged into Dwolla? I am finding they are directed to the Dwolla Direct page instead of the login page even though AllowGuestCheckout is false.
Is there any way I can get control over the Dwolla cookie that determines which page is displayed? Ideally I would like to just block it. Or better yet, pass a parameter requesting either the login page or the Dwolla Direct signup page.";https://discuss.dwolla.com/t/offsite-gateway-default-page/1099/4
30/03/15 13:50;;1099.5;answer;;;0;cambridge (cambridge);;"What I am trying to do is always show the login page for purchasers who have Dwolla accounts, independent of cookies. So I am trying to clarify: ""If Direct registration is allowed and the user has never logged in, we should always be showing the registration page.""Does this means that even if the purchaseOrder customerInfo email is a current Dwolla account, if that user has not previously logged into Dwolla on their current client device they will be shown the registration page? What if AllowGuestCheckout is false when the checkoutid is requested? I am finding that with a cookie-less client,  the Direct registration page is shown even when AllowGuestCheckout is false and the purchaseOrder email is a Dwolla account.
I am in testing mode, and I used separate cURL requests to get the checkoutid and then to  checkout with that id. The cURL checkout request receives a redirect to /Payment/Register/xyz and follows it to register page but no cookies were configured.";https://discuss.dwolla.com/t/offsite-gateway-default-page/1099/5
30/03/15 14:29;solution;1099.6;answer;;;0;Spencer Hunter (spencer);;"cambridge:
Does this means that even if the payer's email is a known Dwolla account, if they have not previously logged in using their current client device they will be shown the registration page?
Yes that is correct. If you are logging in with a fresh client device then the Direct registration page is shown (if AllowFundingSources and AllowGuestCheckout are set to true).
I am finding that with a fresh client the Direct registration page is shown even when AllowGuestCheckout is false (and the user email is a Dwolla account).
I am seeing a different behavior than you in this instance. When I flag AllowFundingSources and AllowGuestCheckout to false on a new client then I am prompted to login with an existing Dwolla account. Can you re-attempt this on a new client or in incognito mode in Chrome?
shea might be able to provide additional insight into this";https://discuss.dwolla.com/t/offsite-gateway-default-page/1099/6
01/04/15 16:23;;1099.7;answer;;;1;cambridge (cambridge);;Aha, I had AllowFundingSources=true. Setting it to false along with AllowGuestCheckout did the trick. Resolved, thanks!;https://discuss.dwolla.com/t/offsite-gateway-default-page/1099/7
02/04/15 21:13;true;1119;question;329;4;0;Justin Gruca (jgruca);"""Invalid application credentials"" for access token refresh";"I've generated an access token and a refresh token for my app manually through the Generate Token page. I can use the access token successfully for API calls (e.g., balance checks). However, when the access token expires and I try to use the refresh token in a refresh call, I consistently get an access denied error with the message ""Invalid application credentials.""
I'm using the python-dwolla wrapper in a Django project. The tokens are stored in a database. Here is (roughly) the code I'm using:
latest = fetch_newest_token()
# If the token is still valid, return it
if latest.expires > now():
    return latest
# If we don't have a token that can be refreshed, throw an error
if latest.refresh_expires < now():
    raise self.model.DoesNotExist
# Set up Dwolla
from dwolla import constants, oauth, accounts
constants.sandbox = False
constants.client_id = settings.DWOLLA_ID
constants.client_secret = settings.DWOLLA_SECRET
constants.access_token = latest.access_token
# Try a sample API call to verify the token is really expired
try:
    bal = accounts.balance()
    return latest
except:
    pass
# Refresh the token
response = oauth.refresh(latest.refresh_token)
print response
latest.access_token = response['access_token']
latest.expires = now() + datetime.timedelta(seconds=response['expires_in'])
latest.refresh_token = response['refresh_token']
latest.refresh_expires = now() + datetime.timedelta(seconds=response['refresh_expires_in'])
latest.save()
return latest
Any obvious things I'm missing here? Are there any limitations on the tokens generated by the Generate Tokens page with respect to refreshing? Does my application need to have specific permissions enabled?";https://discuss.dwolla.com/t/invalid-application-credentials-for-access-token-refresh/1119
02/04/15 21:38;;1119.1;answer;;;0;Spencer Hunter (spencer);;"Hi jgruca A few questions I have with regards to the ""Invalid application credentials"" error.
I see that you have sandbox = False, are you using app keys that are generated using your production credentials?
When using the token generator, are you using your applications own key and secret to generate the token and not just the generic token generator?";https://discuss.dwolla.com/t/invalid-application-credentials-for-access-token-refresh/1119/1
02/04/15 21:51;;1119.2;answer;;;0;Justin Gruca (jgruca);;"Hi spencer.
Yes, I'm using my production credentials in this case.
I'm using my application key/secret to generate the tokens (""Generate a token using your own app""), and not the generic app.";https://discuss.dwolla.com/t/invalid-application-credentials-for-access-token-refresh/1119/2
03/04/15 20:04;solution;1119.3;answer;;;1;Justin Gruca (jgruca);;Aha, it was something simple I overlooked. My DWOLLA_ID constant was actually my Dwolla ID (xxx-xxx-xxxx) and not my app's key. I probably skimmed over the part in the documentation that said constants.client_id != Dwolla ID. My fault!;https://discuss.dwolla.com/t/invalid-application-credentials-for-access-token-refresh/1119/3
03/04/15 20:39;;1119.4;answer;;;1;Spencer Hunter (spencer);;Ah Fantastic! Yes, client_id and client_secret are also known as your application key and secret, which differs from a user Dwolla Id. It looks like you have the OAuth refresh process down, but feel free to let us know if you run into any other issues!;https://discuss.dwolla.com/t/invalid-application-credentials-for-access-token-refresh/1119/4
06/04/15 22:06;true;1129;question;180;2;0;Joe Dev (jholst);"Verified user getting ""User must be verified"" when inserting funding source";"Ran into an issue today where a verified user is getting ""User must be verified"" when attempting to insert a funding source. 
Is there a certain amount of time that needs to pass between when user verification takes place and when they can begin inserting a funding source? Any other explanation as to how this could happen?";https://discuss.dwolla.com/t/verified-user-getting-user-must-be-verified-when-inserting-funding-source/1129
07/04/15 14:37;solution;1129.1;answer;;;0;Spencer Hunter (spencer);;"Hi jholst, In order to add a funding source via the API or on dwolla.com the Dwolla account needs to be in a verified state. Most likely this user was in a non-verified state like Account info, Document, etc., which caused the error ""User must be verified"" to be thrown. They can add a funding source as soon as the Dwolla account gets verified. Hope this helps!";https://discuss.dwolla.com/t/verified-user-getting-user-must-be-verified-when-inserting-funding-source/1129/1
07/04/15 15:39;;1129.2;answer;;;1;Joe Dev (jholst);;"Thanks Spencer. This was one of those classic ""we've already verified, promise!"" situations. I'll relay that info over to the client, thank you!";https://discuss.dwolla.com/t/verified-user-getting-user-must-be-verified-when-inserting-funding-source/1129/2
07/04/15 03:32;true;1131;question;221;5;0;Ted Caldwell (tcaldwell);"access_token not working w/PHP lib; accessing own account?";"I am having issues with access tokens, using the latest version (2.1.2) of the dwolla-php lib.
My simplest test case looks like this:$OAuth = new Dwolla\OAuth();$OAuth->settings->sandbox = true;$OAuth->settings->debug = true;
$OAuth->settings->client_id = MY_KEY;$OAuth->settings->client_secret = MY_SECRET;
$OAuth->settings->oath_token = MY_ACCESS_TOKEN;
$Account = new Dwolla\Account();$balance = $Account->balance();
This gives me an ""invalid access token"" error, even though I have a valid access code that I just generated using your tool.
Any suggestions?
ALSO: Is there some simpler way for me to use a more permanent access token to access only the balance of my account? Having to constantly refresh my access tokens will add a lot of complexity to my app that seems unnecessary for my purpose...
Thanks in advance for any help on this.";https://discuss.dwolla.com/t/access-token-not-working-w-php-lib-accessing-own-account/1131
07/04/15 15:22;;1131.1;answer;;;0;Spencer Hunter (spencer);;"Hello tcaldwell, To double check if a token string is indeed valid I normally utilize postman to see if I get back a valid response from the API.
Screenshot 2015-04-07 10.00.41.png1036x331 55.7 KB
If valid, then there is an issue with how you are getting and setting the access token. I would output where you are setting to the access token to see if this value is indeed being set. Also, it looks like you are setting your access token to the variable oath_token vs. oauth_token.
tcaldwell:
Is there some simpler way for me to use a more permanent access token to access only the balance of my account?
Unfortunately, there is not a way to generate a token that has a long lasting expiration time. Access tokens will have an expiration time of 1 hour, so you will need to refresh your access token to have a valid access token to get your balance. We recommend storing the refresh token in a persistent storage so that you can use it in the future to refresh your expired/expiring access token.
One approach you could take is make the call to get balance, and if the error is expired access token, refresh your access token and re-try the request to get balance.";https://discuss.dwolla.com/t/access-token-not-working-w-php-lib-accessing-own-account/1131/1
07/04/15 18:57;;1131.2;answer;;;0;Ted Caldwell (tcaldwell);;"Hi, thanks for spotting that silly typo... 
I'm still having issues, though - here's some more detailed code, which I run after setting my tokens to a pair that I obtained manually:
    $OAuth = new Dwolla\OAuth();
    $OAuth->settings->sandbox = true;
    $OAuth->settings->debug = true;
    $OAuth->settings->client_id = $this->key;
    $OAuth->settings->client_secret = $this->secret;
    
    echo ""current refresh token: {$this->refresh_token} <br/>"";
    $new_tokens = $OAuth->refresh($this->refresh_token);
    echo 'new tokens: ' . print_r($new_tokens, true) . '<br/>';
    $OAuth->settings->oauth_token = $new_tokens['access_token'];
    echo ""settings oauth token: {$OAuth->settings->oauth_token}<br/>"";
    $Account = new Dwolla\Account();
    $balance = $Account->balance();
    echo ""balance: "" . print_r($balance, true) . "" <br/>"";
 ... and here's the output I get, showing that I'm able to get a new access token, but not able to use it successfully for the balance request: current refresh token: hOXCp... new tokens: Array ( [access_token] => sxF6b... [expires_in] => 3600 [refresh_token] => ekiw5... [refresh_expires_in] => 5184000 [token_type] => bearer ) settings oauth token: sxF6b...balance: Array ( [Error] => Invalid access token. ) 
Interestingly, if I take that same new access token and run it through Postman, everything seems to work.Any ideas on what I might be doing wrong?...";https://discuss.dwolla.com/t/access-token-not-working-w-php-lib-accessing-own-account/1131/2
08/04/15 18:32;;1131.3;answer;;;2;David Stancu (David);;"Hi tcaldwell,
I'm the author of dwolla-php, maybe I can help. I looked into the issue and wasn't able to reproduce it locally in neither production or UAT, which is very strange. I think I may know one silly little edge case, can you try to set the oauth_token to a urlencoded version of itself, e.g, as per the example above, `urlencode($new_tokens['access_token']) and see if it works?
Do let me know!
David";https://discuss.dwolla.com/t/access-token-not-working-w-php-lib-accessing-own-account/1131/3
08/04/15 19:55;solution;1131.4;answer;;;0;Ted Caldwell (tcaldwell);;"Hi David;
After futzing with this I finally realized my mistake: I needed to set the settings->oauth_token on the $Account object rather than the $Oauth object. Once I got to that point, everything magically started working, and there was no need to use the urlencode trick...
Thanks for your help!!";https://discuss.dwolla.com/t/access-token-not-working-w-php-lib-accessing-own-account/1131/4
08/04/15 20:01;;1131.5;answer;;;0;David Stancu (David);;"Oops! Yes, different instances have different sets of settings! 
I realize that this is a bit convoluted so I'm going to work on an update in the near future to make dwolla-php a little bit easier to use. 
I'm glad that everything is working now!";https://discuss.dwolla.com/t/access-token-not-working-w-php-lib-accessing-own-account/1131/5
14/04/15 22:29;false;1168;question;154;0;0;Mastercopy Inc (Mastercopy_Inc);PLEASE HELP! Redirecting Issue with Magento Store;"Having an issue where, once you click on ""Place Order"" in my magento store it will not redirect to Dwolla for payment.  Has any face this issue before and what did you do?
Already try removing and reinstalling. Cleaning cache and all.. Please help if you have any ideas.";https://discuss.dwolla.com/t/please-help-redirecting-issue-with-magento-store/1168
13/04/15 03:52;true;1156;question;198;3;0;Ted Caldwell (tcaldwell);Seeing transfers between my test accounts;"Hi;
I have two accounts on the UAT server, one ""store"" and one ""customer"". I use the regular redirect method (I forget what it's called, where I send the customer to the Dwolla UAT site) to let the customer make payments to the store, and I use the API to send money from the store to the customer.
I'm trying to see the results of my test transactions in the Dwolla dashboards, but I'm not seeing everything. When I send money to the customer it shows up in both the store's and the customer's statements, but not in the Payment Activity view for either. 
When I send money from the customer to the store, the transaction goes through fine, but it does not show up in either of the statements OR in the PA view.
Am I doing something wrong? I'm hoping this checkout method is still supported, as part of my goal is to keep a simple checkout flow and not have to store any of the customer's Dwolla info...
Thanks,Ted.";https://discuss.dwolla.com/t/seeing-transfers-between-my-test-accounts/1156
